   mdm                       oh2
   9.9999997764825804E-003   2.9047207833071414E-033
   1.1220184265863527E-002   5.2796552595749119E-033
   1.2589253777384898E-002   9.6470513882395470E-033
   1.4125375030924451E-002   1.7774136999454474E-032
   1.5848931421391231E-002   3.3264953183773499E-032
   1.7782793875323839E-002   8.3154572126632896E-031
   1.9952622422402241E-002   4.8618226360092977E-030
   2.2387210997130931E-002   1.4929434148546501E-029
   2.5118863281446576E-002   3.6794330447165735E-029
   2.8183829899807972E-002   8.1275800408910462E-029
   3.1622776508049628E-002   1.6835704606141000E-028
   3.5481337974044083E-002   3.3468731944640118E-028
   3.9810715042933723E-002   6.4830111925994046E-028
   4.4668355894275397E-002   1.2313177392784995E-027
   5.0118722743246781E-002   2.3045467066735754E-027
   5.6234135309563976E-002   4.2663024268989378E-027
   6.3095730665499977E-002   7.8336958948952875E-027
   7.0794578582464407E-002   1.4294690893257929E-026
   7.9432828557593066E-002   2.5963001689394913E-026
   8.9125089753382208E-002   1.2846138233051369E-025
  0.10000000164297979        2.0319339690872182E-025
  0.11220183497943667        3.2152072388658049E-025
  0.12589253725675176        5.0911762014075549E-025
  0.14125375881639801        8.0716496045583689E-025
  0.15848930676547904        1.2822871156037560E-024
  0.17782793802281907        8.5294588351103794E-024
  0.19952620628952303        2.5552012997547494E-023
  0.22387213785671345        6.1960256291646934E-023
  0.25118864255594797        2.2579943469547765E-022
  0.28183826157716596        7.8477820810000159E-022
  0.31622780446967719        2.0052114595170595E-021
  0.35481339350065033        4.3432238137172327E-021
  0.39810713171971929        8.9368923045964010E-021
  0.44668365289706635        1.7190150962841587E-020
  0.50118724686928073        3.2369932319880698E-020
  0.56234127843109838        5.9955234434635579E-020
  0.63095743936899507        1.0942928992475274E-019
  0.70794581327987249        1.9808913493881371E-019
  0.79432818010946193        5.6778255176974546E-019
  0.89125077919851003        2.4518247066772103E-018
   1.0000000552113393        6.3745858043389967E-018
   1.1220183933079670        1.3796617160146539E-017
   1.2589252054144453        2.7245693817969659E-017
   1.4125376429443648        5.1413543545794095E-017
   1.5848931291193853        9.4612867214227482E-017
   1.7782791441181960        1.7200723910490873E-016
   1.9952624825737062        3.1085969478763898E-016
   2.2387210813222262        5.5990669628683030E-016
   2.5118860920452417        1.0095496036164566E-015
   2.8183832085832705        1.8287178543148974E-015
   3.1622776248271718        3.3388264316291276E-015
   3.5481334639051170        6.1673057168477816E-015
   3.9810707886127976        1.1599086860995400E-014
   4.4668344032647029        2.2324989905658935E-014
   5.0118735228776350        4.4501269990165446E-014
   5.6234139671256882        9.3177842271575689E-014
   6.3095735559399397        2.1040133677421175E-013
   7.0794571928278485        5.3865592719099659E-013
   7.9432807464300650        1.7560904775025571E-012
   8.9125066086321443        1.0836160303213164E-011
   10.000002655488718        1.9119556068635356E-007
   11.220186293105343        4.5252487835818259E-011
   12.589254702136508        8.5480343954259940E-011
   14.125374553955126        5.2186175073228246E-010
   15.848929186861367        8.9952641297401801E-010
   17.782789080082317        1.2435503087515392E-009
   19.952629022522704        4.2854062753154388E-008
   22.387215522092664        7.2958309410340353E-008
   25.118866203891347        2.0211143112567457E-007
   28.183828343741055        5.7757188233706432E-007
   31.622772049576259        8.3554120698031375E-007
   35.481329928037930        1.0169127354657477E-006
   39.810729919347075        2.1357595287812609E-006
   44.668368754322799        4.2032892730159052E-006
   50.118728574290891        7.6975637309366707E-003
   56.234132204802165        1.1250566232344067E-005
   63.095727181900386        9.4621791623294184E-003
   70.794562528571021        9.9830446746736277E-003
   79.432796917656503        1.4958037928942155E-002
   89.125115412550812        1.8764471551583048E-002
   100.00001327744265        1.9367548819220592E-002
   112.20184803351738        1.9749610745241297E-002
   125.89253030605653        2.0045996333995397E-002
   141.25372678466854        2.0149614414896853E-002
   158.48927082529158        2.0268788377017469E-002
   177.82798921959264        1.9729166102986407E-002
   199.52626373324173        4.6414213652277541E-004
   223.87212549643351        2.0063702075150226E-002
   251.18862868748710        1.9985602087562063E-002
   281.83824601649900        1.9697949616239815E-002
   316.22767850881382        1.9970824574630234E-002
   354.81349565164669        2.0376009739767248E-002
   398.10724633500939        2.0003052080140454E-002
   446.68362823506453        2.0011111435457224E-002
   501.18721919806325        1.9916378272013285E-002
   562.34124738348487        2.0106025709740471E-002
   630.95718804402384        2.0383797330019868E-002
   707.94601709791118        2.0202363813175667E-002
   794.32840879703690        2.0193200870912753E-002
   891.25103579016286        2.0198947572512033E-002
   999.99999999999977        2.0115341058251412E-002
