   mdm                       oh2
   1.0000000000000002E-003   2.7778934890670019E-007
   1.1481536179513768E-003   2.8303663358736069E-007
   1.3182567304148346E-003   2.8844485227500865E-007
   1.5135612344145447E-003   2.9403654016261953E-007
   1.7378008072840092E-003   2.9989580020478206E-007
   1.9952623355068296E-003   3.0642580281309974E-007
   2.2908676103224777E-003   3.1569353689153659E-007
   2.6302680027250991E-003   3.3729739661930778E-007
   3.0199516457969540E-003   5.3731349766997836E-007
   3.4673686758414667E-003   9.5980050201830187E-007
   3.9810717874921627E-003   1.9362666319864738E-006
   4.5708818585089746E-003   5.0272185037171165E-006
   5.2480744080246229E-003   1.4106976046719656E-005
   6.0255954637924740E-003   3.8745426627305765E-005
   6.9183097661594736E-003   1.0062996483747707E-004
   7.9432830013472060E-003   2.4506325079377844E-004
   9.1201079429517364E-003   5.5982134076642891E-004
   1.0471285739192249E-002   1.2026928903455488E-003
   1.2022645534206603E-002   2.4387679252813087E-003
   1.3803842191347627E-002   3.4247142778782501E-003
   1.5848932577166044E-002   4.9912596455419060E-003
   1.8197006937786753E-002   7.1918291281912669E-003
   2.0892960964446445E-002   7.8941919476628042E-003
   2.3988330572949454E-002   8.7388186352998550E-003
   2.7542284992162974E-002   1.0089928767726112E-002
   3.1622776601683798E-002   9.4078748254585055E-003
   3.6307800693276417E-002   1.0127367140657753E-002
   4.1686944526053246E-002   1.1833042978527948E-002
   4.7863010020537555E-002   1.4065812530617687E-002
   5.4954081050347679E-002   1.4957451096302183E-002
   6.3095744839491402E-002   1.7982127009822529E-002
   7.2443598393700140E-002   1.9844155545935938E-002
   8.3176368891091326E-002   2.3012639619526359E-002
   9.5499275903086100E-002   2.7193774387380517E-002
  0.10964782503181084        3.0936630039781580E-002
  0.12589253081256166        3.4223513818680266E-002
  0.14454400564117795        3.8391638615420179E-002
  0.16595870167669804        4.2589991750494258E-002
  0.19054605924362863        4.5972600393922959E-002
  0.21877611915768747        4.9351017558043296E-002
  0.25118866383555499        5.2310775679039530E-002
  0.28840313606320467        5.4967527608500287E-002
  0.33113106149385885        5.7129113292182024E-002
  0.38018943388944670        5.8792680910887039E-002
  0.43651581786188282        5.9952339948276777E-002
  0.50118715108488932        6.0681685556010598E-002
  0.57544000367710135        6.1041212955506748E-002
  0.66069343712639017        6.0933236591327843E-002
  0.75857746258952552        6.0432353452531971E-002
  0.87096370470987461        5.9674100221062676E-002
   1.0000000000000000        5.8593511185261314E-002
   1.1481534702219405        5.7258938006200299E-002
   1.3182563911826830        5.5682047956857425E-002
   1.5135606501786494        5.3940293940940374E-002
   1.7378013439182403        5.2054988518779884E-002
   1.9952626435760792        5.0027012615416401E-002
   2.2908677282260781        4.7964171962692037E-002
   2.6302677319822223        4.5847014295060363E-002
   3.0199510240881815        4.3700213938006313E-002
   3.4673672482071485        4.1555365765087109E-002
   3.9810730168502042        3.9430940406052849E-002
   4.5708827995034920        3.7475378044745100E-002
   5.2480749482277123        3.6337368530172401E-002
   6.0255954637924676        3.8759920354547166E-002
   6.9183083419069042        5.4418137399523017E-002
   7.9432797308258110       0.11204657337173647     
   9.1201116980137584       0.28388832061098129     
   10.471287894886212       0.72549004279463614     
   12.022645534206600        1.2677826185548424     
   13.803842191347623        1.8204866077458994     
   15.848929314391780        2.5900147080834204     
   18.197003191621160        2.9869122183895613     
   20.892969566796879        2.8819566883185597     
   23.988335511359185        2.7604767825645262     
   27.542290662215255        3.1560500153613908     
   31.622776601683789        3.5373261523085864     
   36.307800693276427        3.8274161167205003     
   41.686927362111902        4.0676952332901424     
   47.862990313698653        4.0380926477997532     
   54.954103676832418        3.7070321127792112     
   63.095744839491438        7.4272462459747061E-003
   72.443598393700057        7.7429211883628529E-003
   83.176368891091315        8.2956182715601730E-003
   95.499236582766741        7.8819703782115596E-003
   109.64777988604972        7.2202522613278135E-003
   125.89258264684534        6.5434418793619883E-003
   144.54400564117790        5.4155295982624184E-003
   165.95870167669815        4.3534710315032395E-003
   190.54605924362841        3.4022811346526849E-003
   218.77611915768742        2.4950182538079199E-003
   251.18856041258755        1.7416476548105225E-003
   288.40325480869211        1.1743459214491596E-003
   331.13119783190240        7.7396833107898355E-004
   380.18943388944660        5.0348960871265133E-004
   436.51581786188314        3.2663705924290454E-004
   501.18715108488868        1.8774243890832404E-004
   575.43976674876296        1.0984756503187152E-004
   660.69370915659579        6.6791714403780983E-005
   758.57777492194953        4.0485860396950500E-005
   870.96370470987449        2.4562588659197341E-005
   999.99999999999977        1.4980100268998981E-005
