 # Created from halo with tag mwnfwdef
 0.1000000000E-04 0.4703995296E+06
 0.1057637319E-04 0.4447644708E+06
 0.1118596699E-04 0.4205264277E+06
 0.1183069614E-04 0.3976092683E+06
 0.1251258575E-04 0.3759410093E+06
 0.1323377764E-04 0.3554535902E+06
 0.1399653711E-04 0.3360826596E+06
 0.1480325998E-04 0.3177673730E+06
 0.1565648020E-04 0.3004502017E+06
 0.1655887775E-04 0.2840767522E+06
 0.1751328707E-04 0.2685955950E+06
 0.1852270599E-04 0.2539581037E+06
 0.1959030510E-04 0.2401183014E+06
 0.2071943777E-04 0.2270327171E+06
 0.2191365062E-04 0.2146602487E+06
 0.2317669469E-04 0.2029620341E+06
 0.2451253724E-04 0.1919013288E+06
 0.2592537417E-04 0.1814433911E+06
 0.2741964323E-04 0.1715553722E+06
 0.2900003796E-04 0.1622062138E+06
 0.3067152240E-04 0.1533665499E+06
 0.3243934673E-04 0.1450086150E+06
 0.3430906371E-04 0.1371061566E+06
 0.3628654616E-04 0.1296343529E+06
 0.3837800540E-04 0.1225697349E+06
 0.4059001075E-04 0.1158901124E+06
 0.4292951015E-04 0.1095745046E+06
 0.4540385203E-04 0.1036030740E+06
 0.4802080833E-04 0.9795706433E+05
 0.5078859899E-04 0.9261874127E+05
 0.5371591768E-04 0.8757133706E+05
 0.5681195917E-04 0.8279899769E+05
 0.6008644819E-04 0.7828673316E+05
 0.6354966997E-04 0.7402037034E+05
 0.6721250258E-04 0.6998650850E+05
 0.7108645104E-04 0.6617247720E+05
 0.7518368351E-04 0.6256629649E+05
 0.7951706947E-04 0.5915663928E+05
 0.8410022017E-04 0.5593279577E+05
 0.8894753140E-04 0.5288463980E+05
 0.9407422866E-04 0.5000259705E+05
 0.9949641499E-04 0.4727761495E+05
 0.1052311216E-03 0.4470113430E+05
 0.1112963614E-03 0.4226506230E+05
 0.1177111853E-03 0.3996174721E+05
 0.1244957424E-03 0.3778395427E+05
 0.1316713432E-03 0.3572484298E+05
 0.1392605265E-03 0.3377794564E+05
 0.1472871299E-03 0.3193714699E+05
 0.1557763652E-03 0.3019666506E+05
 0.1647548972E-03 0.2855103295E+05
 0.1742509278E-03 0.2699508170E+05
 0.1842942842E-03 0.2552392403E+05
 0.1949165126E-03 0.2413293902E+05
 0.2061509779E-03 0.2281775753E+05
 0.2180329676E-03 0.2157424857E+05
 0.2305998033E-03 0.2039850624E+05
 0.2438909578E-03 0.1928683752E+05
 0.2579481787E-03 0.1823575063E+05
 0.2728156202E-03 0.1724194409E+05
 0.2885399812E-03 0.1630229632E+05
 0.3051706522E-03 0.1541385588E+05
 0.3227598704E-03 0.1457383215E+05
 0.3413628841E-03 0.1377958661E+05
 0.3610381256E-03 0.1302862451E+05
 0.3818473952E-03 0.1231858707E+05
 0.4038560554E-03 0.1164724403E+05
 0.4271332357E-03 0.1101248671E+05
 0.4517520503E-03 0.1041232132E+05
 0.4777898274E-03 0.9844862711E+04
 0.5053283522E-03 0.9308328500E+04
 0.5344541237E-03 0.8801033418E+04
 0.5652586266E-03 0.8321384040E+04
 0.5978386184E-03 0.7867873778E+04
 0.6322964337E-03 0.7439078147E+04
 0.6687403050E-03 0.7033650290E+04
 0.7072847033E-03 0.6650316752E+04
 0.7480506975E-03 0.6287873472E+04
 0.7911663343E-03 0.5945182010E+04
 0.8367670408E-03 0.5621165964E+04
 0.8849960497E-03 0.5314807594E+04
 0.9360048495E-03 0.5025144621E+04
 0.9899536597E-03 0.4751267208E+04
 0.1047011935E-02 0.4492315100E+04
 0.1107358896E-02 0.4247474924E+04
 0.1171184094E-02 0.4015977632E+04
 0.1238688005E-02 0.3797096086E+04
 0.1310082661E-02 0.3590142773E+04
 0.1385592313E-02 0.3394467651E+04
