# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
  28   0.121565E+01   0.280720E-24   0.753055E-26  -0.713651E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  29   0.123997E+01   0.280557E-24   0.753236E-26  -0.712650E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  30   0.126477E+01   0.280394E-24   0.747713E-26  -0.712432E-26   0.860414E-18   0.405876E-19  -0.381710E-19   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  31   0.129006E+01   0.280178E-24   0.752013E-26  -0.711882E-26   0.281925E-18   0.129773E-19  -0.121619E-19   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  32   0.131586E+01   0.280015E-24   0.751782E-26  -0.711274E-26   0.946532E-19   0.421894E-20  -0.392947E-20   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  33   0.134218E+01   0.279853E-24   0.745859E-26  -0.711448E-26   0.325746E-19   0.139582E-20  -0.132052E-20   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  34   0.136902E+01   0.279637E-24   0.749330E-26  -0.711680E-26   0.114823E-19   0.480403E-21  -0.450025E-21   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  35   0.139640E+01   0.279475E-24   0.745465E-26  -0.709901E-26   0.414878E-20   0.167737E-21  -0.157036E-21   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  36   0.142433E+01   0.279259E-24   0.749751E-26  -0.709352E-26   0.153598E-20   0.599659E-22  -0.561633E-22   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  37   0.145282E+01   0.279043E-24   0.749172E-26  -0.708804E-26   0.583126E-21   0.219233E-22  -0.207510E-22   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  38   0.148188E+01   0.278827E-24   0.748593E-26  -0.708256E-26   0.227056E-21   0.829953E-23  -0.778102E-23   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  39   0.151151E+01   0.278612E-24   0.743164E-26  -0.707709E-26   0.907646E-22   0.319710E-23  -0.302384E-23   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  40   0.154174E+01   0.278343E-24   0.743275E-26  -0.708424E-26   0.372993E-22   0.127149E-23  -0.120531E-23   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  41   0.157258E+01   0.278074E-24   0.746570E-26  -0.706343E-26   0.157819E-22   0.518800E-24  -0.489146E-24   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  42   0.160403E+01   0.277806E-24   0.738274E-26  -0.710439E-26   0.689786E-23   0.218348E-24  -0.207172E-24   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  43   0.163611E+01   0.277430E-24   0.744841E-26  -0.704707E-26   0.312824E-23   0.955451E-25  -0.909683E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  44   0.166883E+01   0.277109E-24   0.736627E-26  -0.708461E-26   0.148345E-23   0.439725E-25  -0.415918E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  45   0.170221E+01   0.276680E-24   0.742829E-26  -0.702803E-26   0.746897E-24   0.212762E-25  -0.202199E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  46   0.173625E+01   0.276306E-24   0.734290E-26  -0.706605E-26   0.412790E-24   0.113322E-25  -0.108254E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  47   0.177098E+01   0.275826E-24   0.740536E-26  -0.700633E-26   0.280225E-24   0.752371E-26  -0.711783E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  48   0.180640E+01   0.275347E-24   0.737835E-26  -0.700763E-26   0.275352E-24   0.738757E-26  -0.699911E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  49   0.184253E+01   0.274815E-24   0.737620E-26  -0.698258E-26   0.274832E-24   0.734842E-26  -0.703127E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  50   0.187938E+01   0.274285E-24   0.728512E-26  -0.701821E-26   0.274227E-24   0.735738E-26  -0.697051E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  51   0.191696E+01   0.273650E-24   0.733287E-26  -0.696443E-26   0.273655E-24   0.734202E-26  -0.695597E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  52   0.195530E+01   0.273016E-24   0.729885E-26  -0.698574E-26   0.273010E-24   0.729969E-26  -0.698463E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  53   0.199441E+01   0.272331E-24   0.728659E-26  -0.696247E-26   0.272331E-24   0.728154E-26  -0.696726E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  54   0.203430E+01   0.271595E-24   0.726691E-26  -0.694365E-26   0.271595E-24   0.726186E-26  -0.694843E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  55   0.207498E+01   0.270809E-24   0.724387E-26  -0.692546E-26   0.270807E-24   0.724079E-26  -0.692827E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  56   0.211648E+01   0.269973E-24   0.722504E-26  -0.694862E-26   0.269972E-24   0.722200E-26  -0.695148E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  57   0.215881E+01   0.269035E-24   0.719344E-26  -0.686204E-26   0.269025E-24   0.723991E-26  -0.688270E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  58   0.237469E+01   0.262970E-24   0.712908E-26  -0.676839E-26   0.262959E-24   0.712927E-26  -0.676765E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  59   0.261216E+01   0.252171E-24   0.688882E-26  -0.657181E-26   0.252138E-24   0.691804E-26  -0.653603E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  60   0.287338E+01   0.235498E-24   0.654996E-26  -0.621492E-26   0.235482E-24   0.654805E-26  -0.618323E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  61   0.316072E+01   0.214305E-24   0.601090E-26  -0.572625E-26   0.214284E-24   0.602746E-26  -0.569431E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  62   0.347679E+01   0.193555E-24   0.540400E-26  -0.514982E-26   0.193543E-24   0.541430E-26  -0.513944E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  63   0.382447E+01   0.178191E-24   0.488997E-26  -0.470644E-26   0.178188E-24   0.489340E-26  -0.467826E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  64   0.420692E+01   0.168382E-24   0.459311E-26  -0.436043E-26   0.168381E-24   0.459323E-26  -0.436024E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  65   0.462761E+01   0.161998E-24   0.439296E-26  -0.416840E-26   0.161993E-24   0.439190E-26  -0.416913E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  66   0.509037E+01   0.157492E-24   0.424337E-26  -0.405244E-26   0.157494E-24   0.424356E-26  -0.405235E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
