   x                        int
   2.3025850929940459        3.4937846753241223E-008
   2.3233083598152948        3.5227236459334821E-008
   2.3440316266365433        3.5515844527845610E-008
   2.3647548910452865        3.5803673353038521E-008
   2.3854781602790407        3.6094379718804180E-008
   2.4062014198627724        3.6386094402141851E-008
   2.4269246890965270        3.6677114870612519E-008
   2.4476479583302813        3.6967442882464228E-008
   2.4683712275640355        3.7257080325795765E-008
   2.4890944774977446        3.7546028813794011E-008
   2.5098177467314993        3.7834290760533572E-008
   2.5305410159652535        3.8128731141608775E-008
   2.5512642851990077        3.8423352639840422E-008
   2.5719875544327624        3.8717399340716965E-008
   2.5927108236665166        3.9010872525694392E-008
   2.6134340736002257        3.9303773200311344E-008
   2.6341573621340255        3.9596103456795441E-008
   2.6548806313677797        3.9887863748882335E-008
   2.6756038620014437        4.0179055075159344E-008
   2.6963271312351980        4.0469679784968949E-008
   2.7170504004689522        4.0759738596619910E-008
   2.7377736697027069        4.1049232768001736E-008
   2.7584969389364611        4.1338163553678893E-008
   2.7792202081702158        4.1626532204901309E-008
   2.7999434774039700        4.1914339969614430E-008
   2.8206667466377242        4.2202610146102105E-008
   2.8413900158714789        4.2498628168837810E-008
   2.8621132851052331        4.2794207751507896E-008
   2.8828365543389873        4.3089349633091402E-008
   2.9035597849726513        4.3384054002563284E-008
   2.9242830542064056        4.3678322693806215E-008
   2.9450063234401602        4.3972155892032034E-008
   2.9657296312740051        4.4265554876413295E-008
   2.9864528619076687        4.4558518740285297E-008
   3.0071761697415136        4.4851050396555453E-008
   3.0278994003751776        4.5143148394386822E-008
   3.0486226310088416        4.5434814551580791E-008
   3.0693459388426865        4.5726050678050878E-008
   3.0900691694763500        4.6016855328255407E-008
   3.1107924773101949        4.6307231391751457E-008
   3.1315157079438589        4.6597177426517078E-008
   3.1522390157777038        4.6886696312831116E-008
   3.1729622464113678        4.7180022269873184E-008
   3.1936855542452127        4.7476976855524136E-008
   3.2144087848788763        4.7773600250138471E-008
   3.2351320927127212        4.8069895080418991E-008
   3.2558553233463852        4.8365859554857180E-008
