# Made with DarkSUSY version trunk (rev 1155)                                            
#..Rstore...... ..zstore...... ..diffhhstore. .diffrcepstore
 0.80000000E+01 0.00000000E+00 0.40000000E+01 0.10000000E-01
#..log(deltav). ...table(i)...
 0.41302620E+01 0.21353837E-03
 0.41374576E+01 0.19822695E-03
 0.41446532E+01 0.18391900E-03
 0.41518487E+01 0.17055564E-03
 0.41590443E+01 0.15808097E-03
 0.41734355E+01 0.13558837E-03
 0.42022178E+01 0.99112217E-04
 0.42597824E+01 0.51576041E-04
 0.43749117E+01 0.12475184E-04
 0.44900409E+01 0.25578176E-05
 0.46051702E+01 0.43592662E-06
 0.47202994E+01 0.60413370E-07
 0.48354287E+01 0.66408741E-08
