 modah      0.40000000E+01 0.30000000E+02 0.10000000E+00 0.10000000E+01 0.00000000E+00 0.00000000E+00 0.10000000E-01 0.10000000E+01 0.25000000E+02 0.25000000E+02 0.40000000E+01 0.60000000E+00 0.00000000E+00 0.10000000E+01 0.20000000E+01
 apbau2     0.40000000E+01 0.30000000E+02 0.10000000E+00 0.10000000E+01 0.00000000E+00 0.10000000E+02 0.10000000E-01 0.10000000E+01 0.25000000E+02 0.25000000E+02 0.40000000E+01 0.60000000E+00 0.00000000E+00 0.10000000E+01 0.20000000E+01
 apbau3     0.40000000E+01 0.30000000E+02 0.10000000E+00 0.10000000E+01 0.00000000E+00 0.10000000E+02 0.10000000E-01 0.25000000E+02 0.25000000E+02 0.40000000E+01 0.60000000E+00 0.00000000E+00 0.10000000E+01 0.20000000E+01
