# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
  28   0.176622E+01   0.295584E-24   0.878335E-26  -0.667802E-26   0.310039E-24   0.918755E-26  -0.705566E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  29   0.180154E+01   0.295070E-24   0.874179E-26  -0.671708E-26   0.295088E-24   0.873940E-26  -0.672028E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  30   0.183757E+01   0.294500E-24   0.874537E-26  -0.665905E-26   0.294538E-24   0.867170E-26  -0.670776E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  31   0.187432E+01   0.293932E-24   0.870807E-26  -0.669117E-26   0.293900E-24   0.870929E-26  -0.668837E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  32   0.191181E+01   0.293251E-24   0.868790E-26  -0.667567E-26   0.293269E-24   0.868552E-26  -0.667885E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  33   0.195005E+01   0.292572E-24   0.866778E-26  -0.666021E-26   0.292589E-24   0.866540E-26  -0.666338E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  34   0.198905E+01   0.291838E-24   0.864795E-26  -0.664167E-26   0.291857E-24   0.864372E-26  -0.664670E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  35   0.202883E+01   0.291049E-24   0.862459E-26  -0.662373E-26   0.291069E-24   0.862036E-26  -0.662875E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  36   0.206941E+01   0.290207E-24   0.858626E-26  -0.661729E-26   0.290213E-24   0.859503E-26  -0.660926E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  37   0.211079E+01   0.289311E-24   0.855976E-26  -0.659687E-26   0.289317E-24   0.856850E-26  -0.658886E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  38   0.215301E+01   0.288306E-24   0.854141E-26  -0.656311E-26   0.288324E-24   0.853907E-26  -0.656623E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  39   0.322951E+01   0.224825E-24   0.695829E-26  -0.533962E-26   0.224826E-24   0.695444E-26  -0.534333E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  40   0.484427E+01   0.171701E-24   0.514453E-26  -0.391081E-26   0.171711E-24   0.510159E-26  -0.393704E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  41   0.726641E+01   0.159267E-24   0.469171E-26  -0.362461E-26   0.159254E-24   0.471651E-26  -0.362682E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  42   0.108996E+02   0.154986E-24   0.455042E-26  -0.350251E-26   0.154984E-24   0.455150E-26  -0.350138E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  43   0.163494E+02   0.153733E-24   0.453746E-26  -0.345160E-26   0.153754E-24   0.451539E-26  -0.347360E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  44   0.245241E+02   0.154060E-24   0.449940E-26  -0.345514E-26   0.154072E-24   0.449987E-26  -0.345529E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  45   0.367862E+02   0.155406E-24   0.455675E-26  -0.346627E-26   0.155409E-24   0.453802E-26  -0.348611E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  46   0.551793E+02   0.158132E-24   0.458975E-26  -0.354744E-26   0.158106E-24   0.461476E-26  -0.352045E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  47   0.562829E+02   0.158285E-24   0.462075E-26  -0.352370E-26   0.158285E-24   0.461997E-26  -0.352443E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  48   0.574085E+02   0.158469E-24   0.462815E-26  -0.355401E-26   0.158454E-24   0.462490E-26  -0.352819E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  49   0.585567E+02   0.158622E-24   0.462955E-26  -0.353217E-26   0.158648E-24   0.460587E-26  -0.355790E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.937496E-18   0.468432E-19  -0.351968E-19
  50   0.597278E+02   0.158806E-24   0.462878E-26  -0.354211E-26   0.158826E-24   0.461103E-26  -0.356190E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.277493E-18   0.134830E-19  -0.101466E-19
  51   0.609224E+02   0.158990E-24   0.464030E-26  -0.354037E-26   0.158989E-24   0.464052E-26  -0.354010E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.842910E-19   0.396636E-20  -0.297797E-20
  52   0.621408E+02   0.159175E-24   0.464363E-26  -0.354643E-26   0.159171E-24   0.464585E-26  -0.354417E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.262656E-19   0.119127E-20  -0.900348E-21
  53   0.633836E+02   0.159359E-24   0.465107E-26  -0.354859E-26   0.159358E-24   0.465130E-26  -0.354832E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.839600E-20   0.369434E-21  -0.279087E-21
  54   0.646513E+02   0.159544E-24   0.465984E-26  -0.355544E-26   0.159546E-24   0.465679E-26  -0.355251E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.275424E-20   0.116435E-21  -0.886960E-22
  55   0.659443E+02   0.159760E-24   0.463803E-26  -0.358297E-26   0.159735E-24   0.466230E-26  -0.355671E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.927211E-21   0.378301E-22  -0.290503E-22
  56   0.672632E+02   0.159945E-24   0.464135E-26  -0.356066E-26   0.159944E-24   0.464145E-26  -0.356051E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.320456E-21   0.127299E-22  -0.962465E-23
  57   0.686085E+02   0.160131E-24   0.467463E-26  -0.356479E-26   0.160131E-24   0.467385E-26  -0.356553E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.113857E-21   0.433969E-23  -0.332328E-23
