# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
  28   0.176622E+01   0.318285E-24   0.934177E-26  -0.719587E-26   0.318277E-24   0.934703E-26  -0.719049E-26   0.318275E-24   0.934697E-26  -0.719044E-26   0.318273E-24   0.934690E-26  -0.719039E-26
  29   0.180154E+01   0.317786E-24   0.930070E-26  -0.723720E-26   0.317753E-24   0.933163E-26  -0.717864E-26   0.317750E-24   0.933156E-26  -0.717859E-26   0.317748E-24   0.933149E-26  -0.717854E-26
  30   0.183757E+01   0.317208E-24   0.931564E-26  -0.716634E-26   0.317206E-24   0.931558E-26  -0.716629E-26   0.317204E-24   0.931551E-26  -0.716624E-26   0.317202E-24   0.931545E-26  -0.716619E-26
  31   0.187432E+01   0.316609E-24   0.929623E-26  -0.715453E-26   0.316605E-24   0.929793E-26  -0.715272E-26   0.316603E-24   0.929786E-26  -0.715267E-26   0.316601E-24   0.935297E-26  -0.715261E-26
  32   0.191181E+01   0.315958E-24   0.932551E-26  -0.709780E-26   0.315948E-24   0.933239E-26  -0.709072E-26   0.315998E-24   0.925383E-26  -0.719127E-26   0.315970E-24   0.933434E-26  -0.713837E-26
  33   0.195005E+01   0.315329E-24   0.924778E-26  -0.713592E-26   0.315314E-24   0.926002E-26  -0.712355E-26   0.315312E-24   0.925996E-26  -0.712350E-26   0.315310E-24   0.925989E-26  -0.712345E-26
  34   0.198905E+01   0.314615E-24   0.925554E-26  -0.717189E-26   0.314577E-24   0.928776E-26  -0.711204E-26   0.314572E-24   0.928760E-26  -0.711192E-26   0.314566E-24   0.928745E-26  -0.711180E-26
  35   0.202883E+01   0.313817E-24   0.926891E-26  -0.709142E-26   0.313815E-24   0.926526E-26  -0.709481E-26   0.313810E-24   0.926510E-26  -0.709469E-26   0.313804E-24   0.926495E-26  -0.709457E-26
  36   0.206941E+01   0.313003E-24   0.924669E-26  -0.707134E-26   0.313003E-24   0.924130E-26  -0.707646E-26   0.312998E-24   0.924115E-26  -0.707634E-26   0.312993E-24   0.924099E-26  -0.707622E-26
  37   0.211079E+01   0.312141E-24   0.921584E-26  -0.705697E-26   0.312136E-24   0.921569E-26  -0.705685E-26   0.312131E-24   0.921554E-26  -0.705673E-26   0.312126E-24   0.921538E-26  -0.705661E-26
