# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
  28   0.131100E-01   0.830753E-25   0.236836E-26  -0.180814E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  29   0.144210E-01   0.832681E-25   0.237385E-26  -0.181234E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  30   0.158631E-01   0.835098E-25   0.236463E-26  -0.183193E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  31   0.174494E-01   0.837684E-25   0.237195E-26  -0.183760E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  32   0.191943E-01   0.840441E-25   0.239598E-26  -0.182923E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  33   0.211138E-01   0.838980E-25   0.237667E-26  -0.182655E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  34   0.232252E-01   0.842066E-25   0.240061E-26  -0.183276E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  35   0.255477E-01   0.845491E-25   0.239512E-26  -0.184072E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  36   0.281024E-01   0.848929E-25   0.240539E-26  -0.184770E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  37   0.309127E-01   0.852710E-25   0.240072E-26  -0.185644E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  38   0.340039E-01   0.856343E-25   0.243969E-26  -0.186538E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  39   0.374043E-01   0.860324E-25   0.243605E-26  -0.187405E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  40   0.411448E-01   0.864323E-25   0.244631E-26  -0.186844E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  41   0.452593E-01   0.868509E-25   0.246087E-26  -0.189032E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  42   0.497852E-01   0.872715E-25   0.247224E-26  -0.189999E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  43   0.547637E-01   0.877110E-25   0.246611E-26  -0.191272E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  44   0.602401E-01   0.881358E-25   0.248193E-26  -0.191828E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
