# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
  28   0.176622E+01   0.869516E-25   0.244859E-26  -0.189251E-26   0.123972E-24   0.355439E-26  -0.271870E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  29   0.180154E+01   0.867838E-25   0.244386E-26  -0.188886E-26   0.867842E-25   0.244250E-26  -0.189017E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  30   0.183757E+01   0.865995E-25   0.245212E-26  -0.187102E-26   0.865983E-25   0.245270E-26  -0.187041E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  31   0.187432E+01   0.864156E-25   0.244745E-26  -0.186653E-26   0.864296E-25   0.243252E-26  -0.188245E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  32   0.191181E+01   0.862321E-25   0.243417E-26  -0.187027E-26   0.862382E-25   0.242714E-26  -0.187828E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  33   0.195005E+01   0.860324E-25   0.243499E-26  -0.185979E-26   0.860447E-25   0.242169E-26  -0.187406E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  34   0.198905E+01   0.858331E-25   0.242720E-26  -0.185753E-26   0.858288E-25   0.243090E-26  -0.185379E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  35   0.202883E+01   0.856177E-25   0.241103E-26  -0.186348E-26   0.856181E-25   0.242353E-26  -0.185058E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  36   0.206941E+01   0.854029E-25   0.240444E-26  -0.185931E-26   0.854028E-25   0.240362E-26  -0.186008E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  37   0.211079E+01   0.851557E-25   0.241177E-26  -0.183932E-26   0.851695E-25   0.239706E-26  -0.185500E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  38   0.215301E+01   0.849093E-25   0.240195E-26  -0.183549E-26   0.849208E-25   0.239006E-26  -0.184958E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  39   0.322951E+01   0.717837E-25   0.209555E-26  -0.159803E-26   0.717836E-25   0.209520E-26  -0.159836E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  40   0.484427E+01   0.568500E-25   0.162106E-26  -0.125721E-26   0.568410E-25   0.162968E-26  -0.124652E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  41   0.726641E+01   0.508125E-25   0.144859E-26  -0.110594E-26   0.508193E-25   0.143997E-26  -0.110605E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  42   0.108996E+02   0.474161E-25   0.133525E-26  -0.103202E-26   0.474164E-25   0.133451E-26  -0.103273E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  43   0.163494E+02   0.452586E-25   0.127845E-26  -0.971937E-27   0.452620E-25   0.127332E-26  -0.978310E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  44   0.245241E+02   0.438467E-25   0.123171E-26  -0.940582E-27   0.438443E-25   0.123177E-26  -0.940400E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
