# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
  28   0.176622E+01   0.417143E-25   0.117443E-26  -0.908166E-27   0.587636E-25   0.168606E-26  -0.129935E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  29   0.180154E+01   0.416257E-25   0.117944E-26  -0.905987E-27   0.416262E-25   0.117224E-26  -0.905967E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  30   0.183757E+01   0.415373E-25   0.116892E-26  -0.904811E-27   0.415368E-25   0.117627E-26  -0.904675E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  31   0.187432E+01   0.414411E-25   0.117231E-26  -0.895834E-27   0.414468E-25   0.116650E-26  -0.902715E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  32   0.191181E+01   0.413451E-25   0.117071E-26  -0.900625E-27   0.413449E-25   0.117152E-26  -0.899843E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  33   0.195005E+01   0.412494E-25   0.115978E-26  -0.899529E-27   0.412478E-25   0.116090E-26  -0.898382E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  34   0.198905E+01   0.411379E-25   0.116485E-26  -0.888803E-27   0.411443E-25   0.115799E-26  -0.896128E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  35   0.202883E+01   0.410268E-25   0.116119E-26  -0.886890E-27   0.410327E-25   0.115485E-26  -0.893696E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  36   0.206941E+01   0.409160E-25   0.115907E-26  -0.890785E-27   0.409162E-25   0.115225E-26  -0.890513E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  37   0.211079E+01   0.407896E-25   0.115549E-26  -0.888035E-27   0.407899E-25   0.115579E-26  -0.887764E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  38   0.215301E+01   0.406637E-25   0.115142E-26  -0.892028E-27   0.406615E-25   0.115215E-26  -0.884971E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  39   0.322951E+01   0.336352E-25   0.980803E-27  -0.755799E-27   0.336306E-25   0.982032E-27  -0.754398E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  40   0.484427E+01   0.270215E-25   0.771030E-27  -0.597072E-27   0.270223E-25   0.770923E-27  -0.597214E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  41   0.726641E+01   0.242969E-25   0.692670E-27  -0.528825E-27   0.242960E-25   0.692530E-27  -0.528915E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  42   0.108996E+02   0.227431E-25   0.640454E-27  -0.495005E-27   0.227432E-25   0.640098E-27  -0.495349E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  43   0.163494E+02   0.217586E-25   0.612322E-27  -0.470104E-27   0.217585E-25   0.612113E-27  -0.470296E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
