 0.167840000000E+01 0.125000000000E+02 0.419600000000E+04 0.568926313446E+02
 0.200000000000E+04 0.100000000000E-02 0.100000000000E+05
 -.690776335014E+01 0.965818054774E+01 -.479595904167E+01 0.921034037198E+01
 -.690775527898E+01 0.965818054774E+01 -.479580433520E+01 0.921034037198E+01
 -.689968412442E+01 0.965011222285E+01 -.464109785963E+01 0.920226921742E+01
 -.689161296987E+01 0.964204390479E+01 -.450674451647E+01 0.919419806286E+01
 -.688354181531E+01 0.963397577468E+01 -.438796158460E+01 0.918612690830E+01
 -.687547066075E+01 0.962590735070E+01 -.428147623135E+01 0.917805575375E+01
 -.686739950620E+01 0.961783911024E+01 -.418495004177E+01 0.916998459919E+01
 -.685932835164E+01 0.960977089990E+01 -.409665401660E+01 0.916191344463E+01
 -.685125719708E+01 0.960170274265E+01 -.401527363462E+01 0.915384229007E+01
 -.684318604252E+01 0.959363457709E+01 -.393978612077E+01 0.914577113552E+01
 -.683511488797E+01 0.958556638018E+01 -.386938002773E+01 0.913769998096E+01
 -.682704373341E+01 0.957749826258E+01 -.380340074872E+01 0.912962882640E+01
 -.681897257885E+01 0.956943017001E+01 -.374131253259E+01 0.912155767185E+01
 -.681090142429E+01 0.956136209111E+01 -.368267134479E+01 0.911348651729E+01
 -.680283026974E+01 0.955329404636E+01 -.362710505775E+01 0.910541536273E+01
 -.679475911518E+01 0.954522601962E+01 -.357429871671E+01 0.909734420817E+01
 -.678668796062E+01 0.953715803181E+01 -.352398339623E+01 0.908927305362E+01
 -.677861680607E+01 0.952909005515E+01 -.347592764598E+01 0.908120189906E+01
 -.677054565151E+01 0.952102210729E+01 -.342993083579E+01 0.907313074450E+01
 -.676247449695E+01 0.951295419379E+01 -.338581791536E+01 0.906505958994E+01
 -.675440334239E+01 0.950488636573E+01 -.334343524246E+01 0.905698843539E+01
 -.674633218784E+01 0.949681843203E+01 -.330264722841E+01 0.904891728083E+01
 -.673826103328E+01 0.948875059194E+01 -.326333361586E+01 0.904084612627E+01
 -.673018987872E+01 0.948068277943E+01 -.322538725111E+01 0.903277497172E+01
 -.672211872416E+01 0.947261498859E+01 -.318871224689E+01 0.902470381716E+01
 -.671404756961E+01 0.946454723391E+01 -.315322245627E+01 0.901663266260E+01
 -.670597641505E+01 0.945647950127E+01 -.311884019646E+01 0.900856150804E+01
 -.669790526049E+01 0.944841179781E+01 -.308549517512E+01 0.900049035349E+01
 -.668983410593E+01 0.944034412157E+01 -.305312358156E+01 0.899241919893E+01
 -.668176295138E+01 0.943227647590E+01 -.302166731364E+01 0.898434804437E+01
 -.667369179682E+01 0.942420885355E+01 -.299107331643E+01 0.897627688981E+01
 -.666562064226E+01 0.941614127000E+01 -.296129301412E+01 0.896820573526E+01
 -.665754948771E+01 0.940807370288E+01 -.293228181952E+01 0.896013458070E+01
 -.664947833315E+01 0.940000626732E+01 -.290399870904E+01 0.895206342614E+01
 -.664140717859E+01 0.939193867577E+01 -.287640585275E+01 0.894399227158E+01
 -.663333602403E+01 0.938387120133E+01 -.284946829125E+01 0.893592111703E+01
 -.662526486948E+01 0.937580375090E+01 -.282315365240E+01 0.892784996247E+01
 -.661719371492E+01 0.936773634019E+01 -.279743190214E+01 0.891977880791E+01
 -.660912256036E+01 0.935966896441E+01 -.277227512465E+01 0.891170765336E+01
 -.660105140580E+01 0.935160161490E+01 -.274765732768E+01 0.890363649880E+01
 -.659298025125E+01 0.934353428033E+01 -.272355426981E+01 0.889556534424E+01
 -.658490909669E+01 0.933546699624E+01 -.269994330666E+01 0.888749418968E+01
 -.657683794213E+01 0.932739973153E+01 -.267680325358E+01 0.887942303513E+01
 -.656876678757E+01 0.931933251451E+01 -.265411426286E+01 0.887135188057E+01
 -.656069563302E+01 0.931126532542E+01 -.263185771351E+01 0.886328072601E+01
 -.655262447846E+01 0.930319814886E+01 -.261001611222E+01 0.885520957145E+01
 -.654455332390E+01 0.929513100986E+01 -.258857300412E+01 0.884713841690E+01
 -.653648216935E+01 0.928706403914E+01 -.256751289215E+01 0.883906726234E+01
 -.652841101479E+01 0.927899717522E+01 -.254682116417E+01 0.883099610778E+01
 -.652033986023E+01 0.927092981214E+01 -.252648402682E+01 0.882292495323E+01
 -.651226870567E+01 0.926286283866E+01 -.250648844545E+01 0.881485379867E+01
 -.650419755112E+01 0.925479584568E+01 -.248682208952E+01 0.880678264411E+01
 -.649612639656E+01 0.924672892253E+01 -.246747328276E+01 0.879871148955E+01
 -.648805524200E+01 0.923866201455E+01 -.244843095767E+01 0.879064033500E+01
 -.647998408744E+01 0.923059515248E+01 -.242968461396E+01 0.878256918044E+01
 -.647191293289E+01 0.922252832392E+01 -.241122428041E+01 0.877449802588E+01
 -.646384177833E+01 0.921446153878E+01 -.239304047992E+01 0.876642687132E+01
 -.645577062377E+01 0.920639480651E+01 -.237512419740E+01 0.875835571677E+01
 -.644769946922E+01 0.919832804525E+01 -.235746685021E+01 0.875028456221E+01
 -.643962831466E+01 0.919026136270E+01 -.234006026094E+01 0.874221340765E+01
 -.643155716010E+01 0.918219471974E+01 -.232289663230E+01 0.873414225309E+01
 -.642348600554E+01 0.917412809791E+01 -.230596852390E+01 0.872607109854E+01
 -.641541485099E+01 0.916606168429E+01 -.228926883084E+01 0.871799994398E+01
 -.640734369643E+01 0.915799498039E+01 -.227279076377E+01 0.870992878942E+01
 -.639927254187E+01 0.914992848383E+01 -.225652783054E+01 0.870185763487E+01
 -.639120138731E+01 0.914186205643E+01 -.224047381907E+01 0.869378648031E+01
