Quenching factors for Borexino
==============================
ln(Tquenched[GeV]) | ln(Trecoil[GeV])
--------------------+-----------------
-15.766481722	-14.833500985
-15.685692084	-14.7479202
-15.605262655	-14.662339415
-15.525214949	-14.57675863
-15.445570898	-14.491177846
-15.366352715	-14.405597061
-15.287582744	-14.320016276
-15.209283279	-14.234435491
-15.131476363	-14.148854706
-15.054183571	-14.063273921
-14.977425769	-13.977693136
-14.901222865	-13.892112352
-14.82559354	-13.806531567
-14.750554985	-13.720950782
-14.676122635	-13.635369997
-14.602309927	-13.549789212
-14.529128077	-13.464208427
-14.456585908	-13.378627642
-14.384689747	-13.293046858
-14.31344341	-13.207466073
-14.242848318	-13.121885288
-14.172903571	-13.036304503
-14.103606756	-12.950723718
-14.034957712	-12.865142933
-13.96695957	-12.779562148
-13.899610731	-12.693981364
-13.83276935	-12.608400579
-13.766387104	-12.522819794
-13.700413782	-12.437239009
-13.634856019	-12.351658224
-13.56968175	-12.266077439
-13.505117821	-12.180496654
-13.441005976	-12.09491587
-13.377365116	-12.009335085
-13.314221162	-11.9237543
-13.251521424	-11.838173515
-13.189289369	-11.75259273
-13.127427815	-11.667011945
-13.065832773	-11.58143116
-13.004643782	-11.495850376
-12.943725676	-11.410269591
-12.882971895	-11.324688806
-12.822233704	-11.239108021
-12.761543398	-11.153527236
-12.700978998	-11.067946451
-12.640382997	-10.982365666
-12.579801756	-10.896784882
-12.519195012	-10.811204097
-12.458598074	-10.725623312
-12.39791231	-10.640042527
-12.337102099	-10.554461742
-12.276118591	-10.468880957
-12.214929897	-10.383300172
-12.153446721	-10.297719388
-12.091738617	-10.212138603
-12.029701171	-10.126557818
-11.967398016	-10.040977033
-11.904665467	-9.955396248
-11.841456125	-9.869815463
-11.777630815	-9.784234679
-11.713065723	-9.698653894
-11.647592794	-9.613073109
-11.581104883	-9.527492324
-11.51337029	-9.441911539
-11.44431645	-9.356330754
-11.373677012	-9.270749969
-11.301307571	-9.185169185
-11.226961092	-9.0995884
-11.150453865	-9.014007615
-11.071663175	-8.92842683
-10.990416602	-8.842846045
-10.906424705	-8.75726526
-10.819697257	-8.671684475
-10.729951443	-8.586103691
-10.637238689	-8.500522906
-10.541523643	-8.414942121
-10.442746066	-8.329361336
-10.340998392	-8.243780551
-10.236330105	-8.158199766
-10.128914905	-8.072618981
-10.019083304	-7.987038197
-9.907045753	-7.901457412
-9.793028548	-7.815876627
-9.677353947	-7.730295842
-9.560117728	-7.644715057
-9.441472008	-7.559134272
-9.321487159	-7.473553487
-9.200330931	-7.387972703
-9.078160923	-7.302391918
-8.955161105	-7.216811133
-8.83142595	-7.131230348
-8.707119582	-7.045649563
-8.582279362	-6.960068778
-8.457074233	-6.874487993
-8.331594698	-6.788907209
-8.205949784	-6.703326424
-8.0800612	-6.617745639
-7.95411626	-6.532164854
-7.828315132	-6.446584069
-7.702519501	-6.361003284
-7.576953732	-6.275422499
-7.451604043	-6.189841715
-7.326532665	-6.10426093
-7.201851895	-6.018680145
-7.077539318	-5.93309936
-6.953652927	-5.847518575
-6.830299439	-5.76193779
-6.707432664	-5.676357005
-6.58637014	-5.590776221
-6.463484053	-5.505195436
-6.342429993	-5.419614651
-6.222089287	-5.334033866
-6.102440263	-5.248453081
-5.983518919	-5.162872296
-5.865380101	-5.077291511
-5.747999369	-4.991710727
-5.631882124	-4.906129942
-5.515679811	-4.820549157
-5.400745172	-4.734968372
-5.286669785	-4.649387587
-5.173423194	-4.563806802
-5.061036138	-4.478226017
-4.949490601	-4.392645233
-4.838979488	-4.307064448
-4.729155584	-4.221483663
-4.620194114	-4.135902878
-4.512047219	-4.050322093
-4.404520276	-3.964741308
-4.298021508	-3.879160523
-4.192397147	-3.793579739
-4.087486298	-3.707998954
-3.983376784	-3.622418169
-3.88001699	-3.536837384
-3.777416075	-3.451256599
-3.67552277	-3.365675814
-3.574334102	-3.280095029
-3.473840469	-3.194514245
-3.374010066	-3.10893346
-3.274769265	-3.023352675
-3.176218448	-2.93777189
-3.078261947	-2.852191105
-2.980906331	-2.76661032
-2.884107196	-2.681029535
-2.787848998	-2.595448751
-2.692123729	-2.509867966
-2.596895001	-2.424287181
-2.502156996	-2.338706396
-2.40788343	-2.253125611
-2.314053244	-2.167544826
-2.220654064	-2.081964041
-2.127659991	-1.996383257
-2.035057934	-1.910802472
-1.942835652	-1.825221687
-1.850928824	-1.739640902
-1.759405998	-1.654060117
-1.66820756	-1.568479332
-1.577322723	-1.482898547
-1.486733706	-1.397317763
-1.396429035	-1.311736978
-1.306391875	-1.226156193
-1.216610863	-1.140575408
-1.127072193	-1.054994623
-1.037765438	-0.969413838
-0.948679741	-0.883833053
-0.859802803	-0.798252269
-0.771124847	-0.712671484
-0.682634259	-0.627090699
-0.594321782	-0.541509914
-0.506181292	-0.455929129
-0.418197738	-0.370348344
-0.330368078	-0.284767559
-0.242683159	-0.199186775
-0.155134772	-0.11360599
-0.06771489	-0.028025205
0.019582234	0.05755558
0.106762967	0.143136365
0.193832316	0.22871715
0.28079805	0.314297935
0.367666015	0.399878719
0.454444881	0.485459504
0.541137175	0.571040289
0.627745244	0.656621074
0.714276325	0.742201859
0.800734378	0.827782644
0.887123169	0.913363428
0.973446774	0.998944213
1.059709422	1.084524998
1.145914882	1.170105783
1.232065796	1.255686568
1.318165551	1.341267353
1.404218261	1.426848138
1.490225675	1.512428922
1.576191774	1.598009707
1.662118245	1.683590492
1.748007363	1.769171277
1.833862119	1.854752062
1.919685724	1.940332847
2.005478767	2.025913632
2.091244335	2.111494416
