# Distribution of neutrino fluxes in the GS98 standard solar model model.
# 
# arxiv:0909.2668
#
# The cumulative neutrino fluxes from Table 3 of GS98 are given in the row below.
# 
# 5.97E+00 1.41E-02 7.91E-07 5.08E-01 5.88E-04 2.82E-02 2.09E-02 5.65E-04 
#
# 
# Columns in the Table below represent:
#
# 1) Radius of the zone in units of one solar radius
# 2) Temperature in units of 10^6 deg (K)
# 3) Logarithm (to the base 10) of the electron density in units of
#   cm^{-3}/N_A, where N_A is the Avogadro number
# 4) Mass of the zone with the given radius in units of one solar mass 
# 5) Fraction of pp neutrinos produced in the zone 
# 6) Fraction of pep neutrinos produced in the zone
# 7) Fraction of hep neutrinos produced in the zone
# 8) Fraction of beryllium 7 neutrinos produced in the zone
# 9) Fraction of boron 8 neutrinos produced in the zone
# 10) Fraction of nitrogen 13 neutrinos produced in the zone
# 11) Fraction of oxygen 15 neutrinos produced in the zone
# 12) Fraction of florine 17 neutrinos produced in the zone

0.0135 15.591 2.007  2.81222060e-05  3.691555e-01  5.775470e-01  1.537782e-01  1.737847e+00  4.174375e+00  2.644133e+00  3.573942e+00  3.912070e+00  
0.0140 15.586 2.007  3.02450045e-05  3.966402e-01  6.201346e-01  1.654916e-01  1.862014e+00  4.458802e+00  2.824743e+00  3.818065e+00  4.178373e+00  
0.0145 15.582 2.006  3.24542386e-05  4.250692e-01  6.641254e-01  1.776461e-01  1.989692e+00  4.749275e+00  3.009276e+00  4.067488e+00  4.450315e+00  
0.0150 15.577 2.006  3.47387504e-05  4.544367e-01  7.095038e-01  1.902431e-01  2.120777e+00  5.045382e+00  3.197481e+00  4.321876e+00  4.727512e+00  
0.0155 15.572 2.006  3.70884036e-05  4.847362e-01  7.562540e-01  2.032841e-01  2.255166e+00  5.346702e+00  3.389102e+00  4.580880e+00  5.009572e+00  
0.0160 15.567 2.005  3.95017994e-05  5.159613e-01  8.043595e-01  2.167702e-01  2.392751e+00  5.652810e+00  3.583880e+00  4.844154e+00  5.296101e+00  
0.0165 15.561 2.005  4.20220959e-05  5.481051e-01  8.538029e-01  2.307030e-01  2.533420e+00  5.963273e+00  3.781553e+00  5.111337e+00  5.586691e+00  
0.0170 15.556 2.005  4.45677010e-05  5.811607e-01  9.045671e-01  2.450836e-01  2.677062e+00  6.277657e+00  3.981857e+00  5.382078e+00  5.880946e+00  
0.0175 15.550 2.004  4.72198610e-05  6.151208e-01  9.566338e-01  2.599135e-01  2.823561e+00  6.595521e+00  4.184526e+00  5.656016e+00  6.178453e+00  
0.0180 15.544 2.004  4.99587031e-05  6.499778e-01  1.009985e+00  2.751939e-01  2.972801e+00  6.916424e+00  4.389294e+00  5.932791e+00  6.478807e+00  
0.0185 15.538 2.003  5.26911320e-05  6.857242e-01  1.064600e+00  2.909261e-01  3.124662e+00  7.239919e+00  4.595890e+00  6.212037e+00  6.781592e+00  
0.0190 15.532 2.003  5.55650317e-05  7.223517e-01  1.120462e+00  3.071113e-01  3.279024e+00  7.565562e+00  4.804051e+00  6.493399e+00  7.086407e+00  
0.0195 15.526 2.003  5.84953595e-05  7.598524e-01  1.177549e+00  3.237508e-01  3.435763e+00  7.892905e+00  5.013506e+00  6.776508e+00  7.392834e+00  
0.0200 15.519 2.002  6.14722655e-05  7.982173e-01  1.235840e+00  3.408455e-01  3.594755e+00  8.221501e+00  5.223988e+00  7.061006e+00  7.700468e+00  
0.0205 15.513 2.002  6.45404204e-05  8.374382e-01  1.295317e+00  3.583969e-01  3.755873e+00  8.550903e+00  5.435222e+00  7.346521e+00  8.008883e+00  
0.0210 15.506 2.001  6.76718229e-05  8.775057e-01  1.355955e+00  3.764057e-01  3.918989e+00  8.880664e+00  5.646946e+00  7.632697e+00  8.317683e+00  
0.0215 15.499 2.001  7.08352298e-05  9.184108e-01  1.417734e+00  3.948731e-01  4.083976e+00  9.210346e+00  5.858898e+00  7.919184e+00  8.626466e+00  
0.0220 15.492 2.000  7.40418205e-05  9.601435e-01  1.480632e+00  4.138000e-01  4.250701e+00  9.539504e+00  6.070815e+00  8.205622e+00  8.934829e+00  
0.0225 15.485 2.000  7.74801417e-05  1.002695e+00  1.544626e+00  4.331872e-01  4.419035e+00  9.867710e+00  6.282441e+00  8.491666e+00  9.242383e+00  
0.0230 15.477 1.999  8.07933849e-05  1.046054e+00  1.609691e+00  4.530356e-01  4.588841e+00  1.019452e+01  6.493498e+00  8.776943e+00  9.548700e+00  
0.0235 15.470 1.999  8.42379055e-05  1.090211e+00  1.675806e+00  4.733458e-01  4.759991e+00  1.051952e+01  6.703767e+00  9.061154e+00  9.853452e+00  
0.0240 15.462 1.998  8.77886143e-05  1.135156e+00  1.742945e+00  4.941186e-01  4.932349e+00  1.084228e+01  6.912979e+00  9.343936e+00  1.015623e+01  
0.0245 15.454 1.997  9.13678400e-05  1.180876e+00  1.811085e+00  5.153544e-01  5.105778e+00  1.116238e+01  7.120882e+00  9.624949e+00  1.045663e+01  
0.0250 15.446 1.997  9.48707306e-05  1.227363e+00  1.880199e+00  5.370539e-01  5.280145e+00  1.147943e+01  7.327238e+00  9.903871e+00  1.075432e+01  
0.0255 15.438 1.996  9.87186096e-05  1.274603e+00  1.950264e+00  5.592171e-01  5.455313e+00  1.179301e+01  7.531810e+00  1.018038e+01  1.104892e+01  
0.0260 15.430 1.996  1.02351584e-04  1.322587e+00  2.021253e+00  5.818446e-01  5.631148e+00  1.210274e+01  7.734382e+00  1.045419e+01  1.134010e+01  
0.0265 15.421 1.995  1.06428443e-04  1.371301e+00  2.093141e+00  6.049363e-01  5.807515e+00  1.240824e+01  7.934704e+00  1.072496e+01  1.162750e+01  
0.0270 15.413 1.995  1.10035217e-04  1.420733e+00  2.165900e+00  6.284925e-01  5.984274e+00  1.270913e+01  8.132560e+00  1.099239e+01  1.191078e+01  
0.0275 15.404 1.994  1.14104420e-04  1.470872e+00  2.239505e+00  6.525129e-01  6.161293e+00  1.300505e+01  8.327739e+00  1.125621e+01  1.218961e+01  
0.0280 15.395 1.993  1.17916469e-04  1.521705e+00  2.313927e+00  6.769974e-01  6.338437e+00  1.329564e+01  8.520043e+00  1.151613e+01  1.246372e+01  
0.0285 15.386 1.993  1.22054558e-04  1.573219e+00  2.389140e+00  7.019459e-01  6.515566e+00  1.358055e+01  8.709229e+00  1.177185e+01  1.273271e+01  
0.0290 15.377 1.992  1.26141312e-04  1.625400e+00  2.465116e+00  7.273576e-01  6.692551e+00  1.385947e+01  8.895134e+00  1.202313e+01  1.299637e+01  
0.0295 15.368 1.991  1.30370802e-04  1.678237e+00  2.541826e+00  7.532321e-01  6.869260e+00  1.413208e+01  9.077570e+00  1.226972e+01  1.325439e+01  
0.0300 15.358 1.991  1.34701448e-04  1.731715e+00  2.619244e+00  7.795688e-01  7.045557e+00  1.439806e+01  9.256333e+00  1.251135e+01  1.350648e+01  
0.0305 15.349 1.990  1.38607328e-04  1.785819e+00  2.697338e+00  8.063667e-01  7.221308e+00  1.465711e+01  9.431263e+00  1.274780e+01  1.375239e+01  
0.0310 15.339 1.989  1.43256601e-04  1.840537e+00  2.776082e+00  8.336246e-01  7.396391e+00  1.490898e+01  9.602214e+00  1.297887e+01  1.399193e+01  
0.0315 15.329 1.989  1.47447031e-04  1.895855e+00  2.855445e+00  8.613418e-01  7.570669e+00  1.515338e+01  9.768978e+00  1.320428e+01  1.422476e+01  
0.0320 15.319 1.988  1.51880839e-04  1.951757e+00  2.935399e+00  8.895172e-01  7.744011e+00  1.539003e+01  9.931384e+00  1.342380e+01  1.445064e+01  
0.0325 15.309 1.987  1.56606499e-04  2.008229e+00  3.015914e+00  9.181485e-01  7.916305e+00  1.561875e+01  1.008937e+01  1.363735e+01  1.466950e+01  
0.0330 15.299 1.987  1.60786114e-04  2.065255e+00  3.096958e+00  9.472347e-01  8.087409e+00  1.583926e+01  1.024275e+01  1.384466e+01  1.488104e+01  
0.0335 15.289 1.986  1.65205009e-04  2.122821e+00  3.178504e+00  9.767734e-01  8.257218e+00  1.605140e+01  1.039145e+01  1.404566e+01  1.508520e+01  
0.0340 15.278 1.985  1.70137435e-04  2.180912e+00  3.260520e+00  1.006763e+00  8.425606e+00  1.625496e+01  1.053533e+01  1.424013e+01  1.528173e+01  
0.0345 15.267 1.984  1.75104669e-04  2.239512e+00  3.342978e+00  1.037202e+00  8.592450e+00  1.644973e+01  1.067422e+01  1.442787e+01  1.547041e+01  
0.0350 15.257 1.984  1.79464055e-04  2.298604e+00  3.425844e+00  1.068087e+00  8.757622e+00  1.663554e+01  1.080800e+01  1.460870e+01  1.565106e+01  
0.0355 15.246 1.983  1.83784530e-04  2.358174e+00  3.509088e+00  1.099417e+00  8.921026e+00  1.681228e+01  1.093667e+01  1.478263e+01  1.582370e+01  
0.0360 15.235 1.982  1.89099547e-04  2.418205e+00  3.592682e+00  1.131188e+00  9.082538e+00  1.697977e+01  1.106006e+01  1.494942e+01  1.598808e+01  
0.0365 15.224 1.981  1.94055268e-04  2.478681e+00  3.676593e+00  1.163397e+00  9.242061e+00  1.713793e+01  1.117816e+01  1.510905e+01  1.614419e+01  
0.0370 15.212 1.981  1.98775662e-04  2.539585e+00  3.760790e+00  1.196043e+00  9.399467e+00  1.728660e+01  1.129081e+01  1.526133e+01  1.629182e+01  
0.0375 15.201 1.980  2.03633409e-04  2.600900e+00  3.845243e+00  1.229121e+00  9.554675e+00  1.742575e+01  1.139805e+01  1.540628e+01  1.643103e+01  
0.0380 15.189 1.979  2.08610277e-04  2.662610e+00  3.929919e+00  1.262629e+00  9.707562e+00  1.755525e+01  1.149972e+01  1.554371e+01  1.656162e+01  
0.0385 15.178 1.978  2.14122959e-04  2.724699e+00  4.014791e+00  1.296563e+00  9.858037e+00  1.767503e+01  1.159577e+01  1.567355e+01  1.668349e+01  
0.0390 15.166 1.977  2.18011014e-04  2.787147e+00  4.099820e+00  1.330919e+00  1.000599e+01  1.778507e+01  1.168620e+01  1.579578e+01  1.679668e+01  
0.0395 15.154 1.976  2.23826092e-04  2.849939e+00  4.184982e+00  1.365693e+00  1.015135e+01  1.788536e+01  1.177103e+01  1.591045e+01  1.690125e+01  
