# Distribution of neutrino fluxes in the AGS05 standard solar model model.
# 
# arxiv:0909.2668
#
# The cumulative neutrino fluxes from Table 1 of BPS08(GS) are given in the row below.
# 
# 6.04E+00 1.44E-02 8.24E-07 4.54E-01 4.66E-04 1.85E-02 1.29E-02 3.14E-04 
#
# 
# Columns in the Table below represent:
#
# 1) Radius of the zone in units of one solar radius
# 2) Temperature in units of 10^6 deg (K)
# 3) Logarithm (to the base 10) of the electron density in units of
#   cm^{-3}/N_A, where N_A is the Avogadro number
# 4) Mass of the zone with the given radius in units of one solar mass 
# 5) Fraction of pp neutrinos produced in the zone 
# 6) Fraction of pep neutrinos produced in the zone
# 7) Fraction of hep neutrinos produced in the zone
# 8) Fraction of beryllium 7 neutrinos produced in the zone
# 9) Fraction of boron 8 neutrinos produced in the zone
# 10) Fraction of nitrogen 13 neutrinos produced in the zone
# 11) Fraction of oxygen 15 neutrinos produced in the zone
# 12) Fraction of florine 17 neutrinos produced in the zone

0.0135 15.401 2.006  2.76732693e-05  3.734333e-01  5.785594e-01  1.610089e-01  1.765901e+00  4.226261e+00  2.465180e+00  3.532285e+00  3.890465e+00  
0.0140 15.396 2.006  2.97758531e-05  4.012039e-01  6.211853e-01  1.732312e-01  1.891846e+00  4.513621e+00  2.633740e+00  3.773810e+00  4.155306e+00  
0.0145 15.392 2.005  3.19340078e-05  4.299242e-01  6.652104e-01  1.859078e-01  2.021320e+00  4.807005e+00  2.805986e+00  4.020616e+00  4.425757e+00  
0.0150 15.387 2.005  3.41963569e-05  4.595876e-01  7.106191e-01  1.990398e-01  2.154217e+00  5.105991e+00  2.981686e+00  4.272372e+00  4.701439e+00  
0.0155 15.382 2.005  3.65156803e-05  4.901874e-01  7.573946e-01  2.126278e-01  2.290427e+00  5.410149e+00  3.160605e+00  4.528740e+00  4.981963e+00  
0.0160 15.377 2.004  3.88874775e-05  5.217164e-01  8.055203e-01  2.266726e-01  2.429840e+00  5.719043e+00  3.342503e+00  4.789376e+00  5.266937e+00  
0.0165 15.372 2.004  4.13577496e-05  5.541674e-01  8.549783e-01  2.411749e-01  2.572339e+00  6.032231e+00  3.527136e+00  5.053933e+00  5.555961e+00  
0.0170 15.366 2.004  4.38785830e-05  5.875329e-01  9.057509e-01  2.561357e-01  2.717809e+00  6.349268e+00  3.714260e+00  5.322057e+00  5.848631e+00  
0.0175 15.361 2.003  4.64922703e-05  6.218050e-01  9.578193e-01  2.715556e-01  2.866131e+00  6.669705e+00  3.903630e+00  5.593400e+00  6.144546e+00  
0.0180 15.355 2.003  4.91830414e-05  6.569757e-01  1.011165e+00  2.874352e-01  3.017183e+00  6.993091e+00  4.094999e+00  5.867607e+00  6.443304e+00  
0.0185 15.349 2.002  5.18978927e-05  6.930369e-01  1.065768e+00  3.037752e-01  3.170843e+00  7.318973e+00  4.288119e+00  6.144323e+00  6.744494e+00  
0.0190 15.343 2.002  5.46909488e-05  7.299799e-01  1.121608e+00  3.205763e-01  3.326986e+00  7.646897e+00  4.482740e+00  6.423191e+00  7.047712e+00  
0.0195 15.337 2.002  5.76046368e-05  7.677960e-01  1.178666e+00  3.378391e-01  3.485486e+00  7.976410e+00  4.678614e+00  6.703853e+00  7.352546e+00  
0.0200 15.331 2.001  6.05791679e-05  8.064761e-01  1.236920e+00  3.555639e-01  3.646211e+00  8.307052e+00  4.875486e+00  6.985945e+00  7.658580e+00  
0.0205 15.325 2.001  6.34691236e-05  8.460111e-01  1.296349e+00  3.737514e-01  3.809034e+00  8.638370e+00  5.073109e+00  7.269114e+00  7.965412e+00  
0.0210 15.318 2.000  6.66648060e-05  8.863911e-01  1.356931e+00  3.924019e-01  3.973825e+00  8.969923e+00  5.271250e+00  7.553025e+00  8.272662e+00  
0.0215 15.311 2.000  6.97920117e-05  9.276068e-01  1.418643e+00  4.115158e-01  4.140448e+00  9.301248e+00  5.469641e+00  7.837295e+00  8.579888e+00  
0.0220 15.304 1.999  7.29727087e-05  9.696477e-01  1.481464e+00  4.310933e-01  4.308771e+00  9.631910e+00  5.668056e+00  8.121597e+00  8.886725e+00  
0.0225 15.297 1.999  7.62065955e-05  1.012504e+00  1.545369e+00  4.511346e-01  4.478660e+00  9.961468e+00  5.866253e+00  8.405589e+00  9.192781e+00  
0.0230 15.290 1.998  7.96402964e-05  1.056164e+00  1.610336e+00  4.716399e-01  4.649979e+00  1.028949e+01  6.063993e+00  8.688927e+00  9.497664e+00  
0.0235 15.283 1.998  8.29949246e-05  1.100619e+00  1.676340e+00  4.926092e-01  4.822590e+00  1.061552e+01  6.261025e+00  8.971249e+00  9.800964e+00  
0.0240 15.276 1.997  8.63787034e-05  1.145856e+00  1.743357e+00  5.140426e-01  4.996358e+00  1.093917e+01  6.457127e+00  9.252239e+00  1.010232e+01  
0.0245 15.268 1.997  9.00975738e-05  1.191865e+00  1.811363e+00  5.359399e-01  5.171145e+00  1.126000e+01  6.652074e+00  9.531573e+00  1.040137e+01  
0.0250 15.260 1.996  9.34884593e-05  1.238634e+00  1.880331e+00  5.583009e-01  5.346813e+00  1.157760e+01  6.845635e+00  9.808922e+00  1.069775e+01  
0.0255 15.252 1.996  9.72658366e-05  1.286151e+00  1.950237e+00  5.811253e-01  5.523226e+00  1.189158e+01  7.037593e+00  1.008398e+01  1.099109e+01  
0.0260 15.244 1.995  1.00993581e-04  1.334404e+00  2.021055e+00  6.044128e-01  5.700240e+00  1.220153e+01  7.227703e+00  1.035638e+01  1.128101e+01  
0.0265 15.236 1.995  1.04690965e-04  1.383381e+00  2.092758e+00  6.281627e-01  5.877725e+00  1.250709e+01  7.415802e+00  1.062590e+01  1.156723e+01  
0.0270 15.228 1.994  1.08355121e-04  1.433070e+00  2.165320e+00  6.523746e-01  6.055534e+00  1.280785e+01  7.601636e+00  1.089218e+01  1.184937e+01  
0.0275 15.219 1.993  1.12433320e-04  1.483457e+00  2.238713e+00  6.770475e-01  6.233542e+00  1.310350e+01  7.785055e+00  1.115500e+01  1.212716e+01  
0.0280 15.211 1.993  1.16439603e-04  1.534531e+00  2.312912e+00  7.021810e-01  6.411602e+00  1.339364e+01  7.965810e+00  1.141400e+01  1.240022e+01  
0.0285 15.202 1.992  1.20275449e-04  1.586276e+00  2.387887e+00  7.277735e-01  6.589581e+00  1.367795e+01  8.143749e+00  1.166897e+01  1.266831e+01  
0.0290 15.193 1.992  1.24305571e-04  1.638681e+00  2.463612e+00  7.538242e-01  6.767349e+00  1.395611e+01  8.318710e+00  1.191966e+01  1.293117e+01  
0.0295 15.184 1.991  1.28593016e-04  1.691731e+00  2.540058e+00  7.803321e-01  6.944763e+00  1.422779e+01  8.490455e+00  1.216576e+01  1.318841e+01  
0.0300 15.175 1.990  1.32663550e-04  1.745413e+00  2.617197e+00  8.072956e-01  7.121698e+00  1.449270e+01  8.658859e+00  1.240706e+01  1.343985e+01  
0.0305 15.166 1.990  1.36821908e-04  1.799712e+00  2.695000e+00  8.347135e-01  7.298018e+00  1.475054e+01  8.823749e+00  1.264333e+01  1.368522e+01  
0.0310 15.156 1.989  1.41209838e-04  1.854614e+00  2.773438e+00  8.625839e-01  7.473585e+00  1.500101e+01  8.984917e+00  1.287427e+01  1.392417e+01  
0.0315 15.147 1.988  1.45218875e-04  1.910105e+00  2.852482e+00  8.909054e-01  7.648279e+00  1.524389e+01  9.142284e+00  1.309976e+01  1.415660e+01  
0.0320 15.137 1.988  1.49737421e-04  1.966169e+00  2.932104e+00  9.196759e-01  7.821968e+00  1.547891e+01  9.295658e+00  1.331953e+01  1.438220e+01  
0.0325 15.127 1.987  1.54221489e-04  2.022793e+00  3.012272e+00  9.488933e-01  7.994518e+00  1.570581e+01  9.444878e+00  1.353334e+01  1.460072e+01  
0.0330 15.117 1.986  1.59111600e-04  2.079961e+00  3.092959e+00  9.785558e-01  8.165824e+00  1.592442e+01  9.589893e+00  1.374114e+01  1.481211e+01  
0.0335 15.107 1.985  1.62757308e-04  2.137656e+00  3.174132e+00  1.008661e+00  8.335748e+00  1.613450e+01  9.730556e+00  1.394269e+01  1.501612e+01  
0.0340 15.097 1.985  1.67846355e-04  2.195865e+00  3.255764e+00  1.039205e+00  8.504173e+00  1.633587e+01  9.866727e+00  1.413781e+01  1.521256e+01  
0.0345 15.087 1.984  1.72410037e-04  2.254570e+00  3.337822e+00  1.070187e+00  8.670984e+00  1.652837e+01  9.998337e+00  1.432640e+01  1.540132e+01  
0.0350 15.076 1.983  1.77180025e-04  2.313757e+00  3.420279e+00  1.101604e+00  8.836068e+00  1.671183e+01  1.012527e+01  1.450829e+01  1.558223e+01  
0.0355 15.065 1.983  1.81901241e-04  2.373409e+00  3.503102e+00  1.133452e+00  8.999293e+00  1.688606e+01  1.024737e+01  1.468325e+01  1.575504e+01  
0.0360 15.055 1.982  1.86075762e-04  2.433509e+00  3.586260e+00  1.165729e+00  9.160560e+00  1.705099e+01  1.036464e+01  1.485128e+01  1.591978e+01  
0.0365 15.044 1.981  1.91306555e-04  2.494042e+00  3.669726e+00  1.198431e+00  9.319762e+00  1.720647e+01  1.047695e+01  1.501222e+01  1.607628e+01  
0.0370 15.033 1.980  1.96424555e-04  2.554991e+00  3.753467e+00  1.231555e+00  9.476794e+00  1.735242e+01  1.058427e+01  1.516600e+01  1.622446e+01  
0.0375 15.022 1.980  2.01014855e-04  2.616339e+00  3.837451e+00  1.265098e+00  9.631539e+00  1.748873e+01  1.068648e+01  1.531247e+01  1.636421e+01  
0.0380 15.011 1.979  2.05555040e-04  2.678067e+00  3.921648e+00  1.299054e+00  9.783912e+00  1.761536e+01  1.078362e+01  1.545166e+01  1.649556e+01  
0.0385 14.999 1.978  2.10735377e-04  2.740162e+00  4.006028e+00  1.333421e+00  9.933805e+00  1.773223e+01  1.087556e+01  1.558341e+01  1.661835e+01  
0.0390 14.988 1.977  2.16450911e-04  2.802605e+00  4.090563e+00  1.368196e+00  1.008113e+01  1.783931e+01  1.096229e+01  1.570769e+01  1.673258e+01  
0.0395 14.976 1.976  2.20472840e-04  2.865378e+00  4.175216e+00  1.403372e+00  1.022579e+01  1.793658e+01  1.104378e+01  1.582446e+01  1.683822e+01  
0.0400 14.964 1.976  2.25902807e-04  2.928464e+00  4.259960e+00  1.438945e+00  1.036770e+01  1.802402e+01  1.111999e+01  1.593368e+01  1.693524e+01  
0.0405 14.953 1.975  2.31622977e-04  2.991847e+00  4.344768e+00  1.474913e+00  1.050678e+01  1.810163e+01  1.119091e+01  1.603531e+01  1.702361e+01  
0.0410 14.941 1.974  2.36543930e-04  3.055508e+00  4.429603e+00  1.511270e+00  1.064291e+01  1.816936e+01  1.125640e+01  1.612916e+01  1.710315e+01  
0.0415 14.929 1.973  2.40655165e-04  3.119426e+00  4.514431e+00  1.548010e+00  1.077603e+01  1.822732e+01  1.131658e+01  1.621541e+01  1.717407e+01  
0.0420 14.917 1.972  2.47313693e-04  3.183589e+00  4.599232e+00  1.585129e+00  1.090610e+01  1.827556e+01  1.137152e+01  1.629414e+01  1.723652e+01  
0.0425 14.904 1.971  2.51866741e-04  3.247972e+00  4.683961e+00  1.622620e+00  1.103298e+01  1.831405e+01  1.142103e+01  1.636509e+01  1.729021e+01  
0.0430 14.892 1.970  2.57151535e-04  3.312560e+00  4.768597e+00  1.660477e+00  1.115666e+01  1.834294e+01  1.146534e+01  1.642860e+01  1.733555e+01  
0.0435 14.879 1.970  2.63081961e-04  3.377335e+00  4.853106e+00  1.698697e+00  1.127704e+01  1.836225e+01  1.150430e+01  1.648444e+01  1.737231e+01  
0.0440 14.867 1.969  2.66984242e-04  3.442275e+00  4.937454e+00  1.737270e+00  1.139407e+01  1.837214e+01  1.153806e+01  1.653283e+01  1.740075e+01  
0.0445 14.854 1.968  2.73212469e-04  3.507366e+00  5.021618e+00  1.776194e+00  1.150769e+01  1.837267e+01  1.156662e+01  1.657377e+01  1.742091e+01  
0.0450 14.841 1.967  2.79529477e-04  3.572590e+00  5.105565e+00  1.815462e+00  1.161782e+01  1.836390e+01  1.158990e+01  1.660714e+01  1.743267e+01  
0.0455 14.828 1.966  2.83862567e-04  3.637924e+00  5.189264e+00  1.855066e+00  1.172445e+01  1.834607e+01  1.160812e+01  1.663327e+01  1.743644e+01  
0.0460 14.815 1.965  2.89761134e-04  3.703353e+00  5.272688e+00  1.895001e+00  1.182751e+01  1.831923e+01  1.162123e+01  1.665207e+01  1.743214e+01  
0.0465 14.802 1.964  2.94203383e-04  3.768854e+00  5.355801e+00  1.935258e+00  1.192695e+01  1.828358e+01  1.162931e+01  1.666367e+01  1.741993e+01  
0.0470 14.789 1.963  3.00876154e-04  3.834414e+00  5.438582e+00  1.975833e+00  1.202274e+01  1.823923e+01  1.163243e+01  1.666816e+01  1.739995e+01  
